Id,LotArea,OverallQual,OverallCond,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,MoSold
1,8450,7,5,2003,1710,2,3,2,2,548,2
2,9600,6,8,1976,1262,2,3,1,2,460,5
3,11250,7,5,2002,1786,2,3,2,2,608,9
4,9550,7,5,1970,1717,1,3,2,3,642,2
5,14260,8,5,2000,2198,2,4,2,3,836,12
6,14115,5,5,1995,1362,1,1,1,2,480,10
7,10084,8,5,2005,1694,2,3,2,2,636,8
8,10382,7,6,1973,2090,2,3,1,2,484,11
9,6120,7,5,1950,1774,2,2,1,2,468,4
10,7420,5,6,1950,1077,1,2,1,1,205,1
11,11200,5,5,1965,1040,1,3,1,1,384,2
12,11924,9,5,2006,2324,3,4,3,3,736,7
13,12968,5,6,1962,912,1,2,1,1,352,9
14,10652,7,5,2007,1494,2,3,2,3,840,8
15,10920,6,5,1960,1253,1,2,1,1,352,5
16,6120,7,8,2001,854,1,2,1,2,576,7
17,11241,6,7,1970,1004,1,2,1,2,480,3
18,10791,4,5,1967,1296,2,2,1,2,516,10
19,13695,5,5,2004,1114,1,3,2,2,576,6
20,7560,5,6,1965,1339,1,3,1,1,294,5
21,14215,8,5,2006,2376,3,4,2,3,853,11
22,7449,7,7,1950,1108,1,3,2,1,280,6
23,9742,8,5,2002,1795,2,3,2,2,534,9
24,4224,5,7,1976,1060,1,3,1,2,572,6
25,8246,5,8,2001,1060,1,3,2,1,270,5
26,14230,8,5,2007,1600,2,3,2,3,890,7
27,7200,5,7,2000,900,1,3,2,2,576,5
28,11478,8,5,2008,1704,2,3,2,3,772,5
29,16321,5,6,1997,1600,1,2,1,1,319,12
30,6324,4,6,1950,520,1,1,0,1,240,5
31,8500,4,4,1950,1317,1,3,1,1,250,7
32,8544,5,6,2006,1228,1,3,2,1,271,6
33,11049,8,5,2007,1234,2,3,2,2,484,1
34,10552,5,5,1959,1700,1,4,2,2,447,4
35,7313,9,5,2005,1561,2,2,3,2,556,8
36,13418,8,5,2005,2452,3,4,2,3,691,9
37,10859,5,5,1995,1097,1,3,1,2,672,6
38,8532,5,6,1990,1297,1,3,1,2,498,10
39,7922,5,7,2007,1057,1,3,2,1,246,1
40,6040,4,5,1955,1152,2,2,0,0,0,6
41,8658,6,5,1965,1324,2,3,1,2,440,12
42,16905,5,6,1959,1328,1,2,1,1,308,7
43,9180,5,7,1983,884,1,2,2,2,504,12
44,9200,5,6,1980,938,1,3,1,1,308,7
45,7945,5,6,1959,1150,1,3,1,1,300,5
