Id,LotArea,OverallQual,OverallCond,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,MoSold,SalePrice
1461,11622,5,6,1961,896,1,2,1.0,1.0,730.0,6,169277.0524984
1462,14267,6,6,1958,1329,1,3,2.0,1.0,312.0,6,187758.393988768
1463,13830,5,5,1998,1629,2,3,1.0,2.0,482.0,3,183583.683569555
1464,9978,6,6,1998,1604,2,3,2.0,2.0,470.0,6,179317.47751083
1465,5005,8,5,1992,1280,2,2,2.0,2.0,506.0,1,150730.079976501
1466,10000,6,5,1994,1655,2,3,1.0,2.0,440.0,4,177150.989247307
1467,7980,6,7,2007,1187,2,3,1.0,2.0,420.0,3,172070.659229164
1468,8402,6,5,1998,1465,2,3,1.0,2.0,393.0,5,175110.956519547
1469,10176,7,5,1990,1341,1,2,2.0,2.0,506.0,2,162011.698831665
1470,8400,4,5,1970,882,1,2,1.0,2.0,525.0,4,160726.247831419
1471,5858,7,5,1999,1337,2,2,2.0,2.0,511.0,6,157933.279456005
1472,1680,6,5,1971,987,1,2,1.0,1.0,264.0,2,145291.245020389
1473,1680,5,5,1971,1092,1,3,1.0,1.0,320.0,3,159672.017631819
1474,2280,6,6,1975,1456,2,3,2.0,2.0,440.0,6,164167.518301885
1475,2280,7,6,1975,836,1,2,1.0,1.0,308.0,6,150891.638244053
1476,12858,9,5,2010,2334,2,3,3.0,3.0,751.0,1,179460.96518734
1477,12883,8,5,2010,1544,2,3,2.0,3.0,868.0,6,185034.62891405
1478,11520,9,5,2005,1698,2,3,3.0,3.0,730.0,6,182352.192644656
1479,14122,8,5,2006,1822,2,3,3.0,3.0,678.0,2,183053.458213802
1480,14300,9,5,2004,2696,2,3,3.0,3.0,958.0,6,187823.339254278
1481,13650,8,5,2002,2250,2,3,2.0,3.0,756.0,6,186544.114327568
1482,7132,8,5,2006,1370,2,2,2.0,2.0,484.0,4,158230.77520516
1483,18494,6,5,2005,1324,2,3,2.0,2.0,430.0,1,190552.829321091
1484,3203,7,5,2006,1145,2,2,2.0,2.0,437.0,1,147183.67487199
1485,13300,7,5,2004,1374,2,3,2.0,2.0,400.0,6,185855.300905493
1486,8577,7,5,2004,1733,2,3,2.0,2.0,433.0,4,174350.470676986
1487,17433,8,5,1998,2475,2,4,2.0,3.0,962.0,1,201740.620690863
1488,8987,8,5,2006,1595,2,2,2.0,3.0,880.0,5,162986.378895754
1489,9215,7,5,2010,1218,2,2,2.0,2.0,676.0,4,162330.199085679
1490,10440,6,5,2005,1468,2,2,2.0,2.0,528.0,5,165845.938616539
1491,11920,7,5,2004,1659,2,3,2.0,2.0,484.0,4,180929.622876974
1492,9800,5,5,1950,1012,1,2,1.0,1.0,429.0,4,163481.501519718
1493,15410,6,6,2002,1494,2,3,1.0,2.0,461.0,4,187798.076714233
1494,13143,8,5,1993,2349,2,4,2.0,3.0,762.0,6,198822.198942566
1495,11134,8,5,1993,2225,2,4,2.0,3.0,713.0,6,194868.409899858
1496,4835,7,5,2005,1488,2,2,2.0,2.0,506.0,3,152605.298564403
1497,3515,7,5,2004,1680,2,2,2.0,2.0,588.0,1,147797.702836811
1498,3215,7,5,2004,1200,2,2,2.0,2.0,480.0,4,150521.96899297
1499,2544,7,5,2005,1200,2,2,2.0,2.0,480.0,2,146991.630153739
1500,2544,6,5,2005,1236,2,2,2.0,2.0,480.0,5,150306.307814534
1501,2980,6,5,2000,1512,2,2,2.0,2.0,440.0,5,151164.372534604
1502,2403,7,5,2003,1080,2,2,2.0,2.0,496.0,6,151133.706960953
1503,12853,8,5,2010,1418,1,1,2.0,3.0,852.0,4,156214.042540726
1504,7379,8,5,2000,1848,2,3,2.0,2.0,592.0,4,171992.760735142
1505,8000,7,5,2002,1492,2,3,2.0,2.0,596.0,4,173214.912549738
1506,10456,6,6,1967,1829,2,4,1.0,2.0,535.0,5,192429.187345783
1507,10791,6,5,1993,2495,2,4,2.0,2.0,660.0,3,190878.69508543
1508,18837,6,5,1978,1891,3,3,1.0,2.0,678.0,4,194542.544135519
1509,9600,6,6,1971,1645,1,4,1.0,2.0,441.0,6,191849.439072822
1510,9600,5,5,1966,1232,1,3,1.0,2.0,490.0,4,176363.773907793
1511,9900,5,5,1966,1209,1,3,1.0,2.0,504.0,4,176954.185412429
1512,9680,5,6,1967,1510,2,3,2.0,2.0,517.0,4,176521.216975696
1513,10600,6,5,1964,1775,2,3,1.0,2.0,480.0,5,179436.704810176
1514,13260,5,6,2001,1728,2,6,1.0,0.0,0.0,1,220079.756777048
1515,9724,5,7,2002,2461,2,3,1.0,2.0,400.0,3,175502.918109444
1516,17360,6,6,1950,1556,2,3,1.0,2.0,470.0,1,188321.073833569
1517,11380,6,8,2008,1128,1,2,2.0,1.0,315.0,1,163276.324450004
1518,8267,5,5,1958,1604,2,4,1.0,2.0,576.0,3,185911.366293097
1519,8197,7,5,2009,1480,2,3,2.0,2.0,620.0,2,171392.830997252
1520,8050,5,5,1959,1143,1,3,1.0,1.0,308.0,5,174418.207020775
